step,seed,wilayah,budget,raw_action,allocation,allocation_share,kebutuhan,mustahik_weight,eligible,upper_cap,benefit,lbr_before,lbr_after
1,1001,Bandung Kulon,496489926.49743235,-0.01312616840004921,38320724.57453533,0.07718328717135312,0.9865157591163988,0.05522470300548071,1,97288652.71159296,0.0008429501099199549,0.019138981425375404,0.01877983332615793
1,1001,Babakan Ciparay,496489926.49743235,-0.8334672451019287,39068890.899997644,0.07869019856176213,0.884921166651686,0.05670478784413065,1,99188097.32326348,0.0008645565694905057,0.0191389814327839,0.018777897801602654
1,1001,Bojongloa Kaler,496489926.49743235,-0.09359746426343918,22422657.32029601,0.04516236105429213,0.759288595207603,0.04609972701695733,1,56926640.74402585,0.0007281609442075266,0.019138981280253226,0.018837128461408562
1,1001,Bojongloa Kidul,496489926.49743235,0.009784720838069916,11525958.594474392,0.023214889123302277,0.39074725511157526,0.03491907720990219,1,28402020.747646414,0.0005502271332653242,0.019138981003414855,0.01882470762472873
1,1001,Astanaanyar,496489926.49743235,-0.7099112868309021,5832347.633096199,0.01174716207082272,0.29526595819288676,0.02672142505127543,1,14807163.73892984,0.0004186094910164309,0.019138980645277748,0.01882347380296996
1,1001,Regol,496489926.49743235,0.30952122807502747,17935131.279237535,0.03612385734744667,0.3334758507533265,0.030542425773300807,1,18326632.15949979,0.0011934203612569017,0.019138980779388016,0.020871283202074598
1,1001,Lengkong,496489926.49743235,-0.42945998907089233,5285101.531893476,0.010644932051649203,0.26971945662242996,0.02605245189031401,1,13417815.377728334,0.00040200060569307687,0.019138980579478486,0.018798165304273914
1,1001,Bandung Kidul,496489926.49743235,0.47360971570014954,11296626.598768018,0.02275298247934631,0.25603934977020343,0.024317916605553637,1,11296626.598768016,0.0009402326785802211,0.019138980455754587,0.020885828306891927
1,1001,Buahbatu,496489926.49743235,-0.11066180467605591,17751294.56255284,0.03575358454456908,0.6605001384590453,0.042677077478459106,1,45066985.32065355,0.000629718263998027,0.01913898119219885,0.01872148683172933
1,1001,Rancasari,496489926.49743235,-0.09193003922700882,13457783.922067137,0.02710585493044587,0.556939175961024,0.03456093405464315,1,34166620.82458875,0.0005369530193721779,0.01913898107453575,0.018809653648967733
1,1001,Gedebage,496489926.49743235,1.905739188194275,8483102.082105385,0.017086151459206403,0.3267891236733925,0.018668742468292115,1,8483102.082105383,0.0006919870269603408,0.019138980190665872,0.020804582235032162
1,1001,Cibiru,496489926.49743235,0.7235355973243713,18625473.52543931,0.03751430297254103,0.35307793174433044,0.028982378252565714,1,18625473.525439307,0.0011401191927720195,0.019138980783933005,0.020918310183191024
1,1001,Panyileukan ,496489926.49743235,-0.5154995322227478,1864492.1247469462,0.003755347339875159,0.16482576551215036,0.016310422038699632,1,4733572.46821331,0.00024751113678090015,0.01913897963822701,0.018769880843881707
1,1001,Ujung Berung,496489926.49743235,0.9423068761825562,45121894.18458272,0.09088179190845287,0.7623003038706428,0.03806503697335305,1,45121894.18458271,0.0014553924045570836,0.019138981175082895,0.02086457617660635
1,1001,Cinambo,496489926.49743235,-1.57985258102417,653930.6523338569,0.0013171075935963397,0.10053116960278721,0.010789217260898579,1,1660199.0917116024,0.00015788279187957513,0.019138978030741615,0.018706937201473334
1,1001,Arcamanik,496489926.49743235,-1.5923383235931396,12017360.45355369,0.024204641045452984,0.6014470549531488,0.03275512387822711,1,30509673.829412267,0.0004991670606639715,0.019138981019602673,0.01877708711294441
1,1001,Antapani,496489926.49743235,-0.876853883266449,10505839.69235674,0.021160227290958074,0.4506597018011457,0.03406207832488369,1,26672225.03283674,0.0004992922968560176,0.019138980967647854,0.018709927798017015
1,1001,Mandalajati,496489926.49743235,-0.6894850730895996,9755670.31090573,0.01964928146624981,0.49571931030471855,0.031183574824478037,1,24767695.062770467,0.0004613155005277526,0.019138980922143445,0.01872598595954415
1,1001,Kiaracondong,496489926.49743235,-0.474028617143631,25892941.79919494,0.05215199829301842,0.663020816295876,0.05050123655460275,1,65736998.72202667,0.0007687677304048819,0.019138981325408814,0.018775232593091943
1,1001,Batununggal,496489926.49743235,1.9354811906814575,52569459.56841155,0.10588222794220863,0.6305347430597414,0.04707531349509066,1,52569459.56841154,0.001779840817692438,0.019138981252902004,0.02084308059207282
1,1001,Sumur Bandung ,496489926.49743235,-1.8910157680511475,1253814.8599651468,0.0025253581050684835,0.1250740761012632,0.013193551241224222,1,3183185.0736152953,0.00020720253497893512,0.019138979128586822,0.018827616717187187
1,1001,Andir,496489926.49743235,-1.7363133430480957,12464528.156857472,0.02510529920474012,0.48557242913213167,0.038796744150659646,1,31644943.16144028,0.0005888073273406105,0.01913898105800447,0.018770072167398313
1,1001,Cicendo,496489926.49743235,-1.269811987876892,11221922.833477603,0.0226025186707099,0.4917717219108067,0.035698022498804084,1,28490216.85847745,0.000560396293680421,0.01913898100967542,0.01882692212914819
1,1001,Bandung Wetan,496489926.49743235,-1.3062406778335571,615772.6602988063,0.0012402520724697737,0.0815783136482843,0.010440177830148422,1,1563323.5843592002,0.00016299367451953764,0.019138977885664325,0.018817773471096703
1,1001,Cibeunying Kidul,496489926.49743235,1.1322180032730103,45162545.302531086,0.09096366893309896,0.5900629446365974,0.044336094237082777,1,45162545.30253108,0.001671933593860482,0.01913898119881274,0.020838076714186693
1,1001,Cibeunying Kaler,496489926.49743235,-0.33530348539352417,5084769.400412898,0.01024143518134238,0.3011569891337933,0.0274906491791204,1,12909212.17716311,0.00040730232786320117,0.019138980553676452,0.01872863037231155
1,1001,Coblong,496489926.49743235,0.04242914915084839,19586764.41230758,0.03945047697238399,0.5589882544149471,0.0439281214523684,1,45997331.64168851,0.0007231481846394819,0.01913898120646947,0.01888692425466024
1,1001,Sukajadi,496489926.49743235,-1.0465408563613892,13845388.927642379,0.027886545504189557,0.5635965745071874,0.04245305071487306,1,35150672.38403508,0.0006110220842537542,0.019138981102853475,0.018677618788514583
1,1001,Sukasari,496489926.49743235,1.217002511024475,16190186.744309528,0.03260929553702285,0.2527831198749292,0.030885185420808488,1,16190186.744309524,0.0011539728575333456,0.019138980704091212,0.02082014787759549
1,1001,Cidadap,496489926.49743235,-0.6567359566688538,2677551.889080481,0.005392963172424663,0.17959267531013928,0.020207447032198445,1,6797768.537683745,0.0003198865129253738,0.019138980017550853,0.018840756192420552
2,1001,Bandung Kulon,531194639.10039634,-0.017165862023830414,42913559.17458696,0.08078688302890846,0.9944852510791075,0.05696137995215962,1,97288652.71159296,0.0009439797870448593,0.01877983332615793,0.018572541439320297
2,1001,Babakan Ciparay,531194639.10039634,-0.8222243189811707,43751395.10375139,0.08236415031945067,0.8778602328118913,0.05903280790399036,1,99188097.32326348,0.0009681758347873983,0.018777897801602654,0.018554133202785095
2,1001,Bojongloa Kaler,531194639.10039634,-0.1129886731505394,25110068.83219081,0.04727093796487842,0.8491252000752726,0.04600939914951039,1,56926640.74402585,0.0008154328529747459,0.018837128461408562,0.01872896955379827
2,1001,Bojongloa Kidul,531194639.10039634,0.03883097320795059,13864241.042769866,0.02610011476442915,0.3890783654485932,0.03459090909124351,1,28402020.747646414,0.0006618522478052149,0.01882470762472873,0.01883034560240822
2,1001,Astanaanyar,531194639.10039634,-0.707305908203125,6531369.071396814,0.01229562309299281,0.2794117539551633,0.02859361623042052,1,14807163.73892984,0.0004687808845794811,0.01882347380296996,0.01859466242978208
2,1001,Regol,531194639.10039634,0.30396679043769836,18326632.159499787,0.0345007852310724,0.34596459111498995,0.030311430642499824,1,18326632.15949979,0.001219471194935262,0.020871283202074598,0.022394295588972258
2,1001,Lengkong,531194639.10039634,-0.42130717635154724,5918534.157449735,0.011141931265483134,0.285621681219885,0.026230997884323565,1,13417815.377728334,0.0004501813828461211,0.018798165304273914,0.01864414743515994
2,1001,Bandung Kidul,531194639.10039634,0.4618779420852661,11296626.598768014,0.021266454454245614,0.26759327484931317,0.024680342535863153,1,11296626.598768016,0.0009402326785802209,0.020885828306891927,0.02230295655601899
2,1001,Buahbatu,531194639.10039634,-0.11756026744842529,19878831.57464728,0.03742287687299149,0.6128440221658507,0.040552643497174454,1,45066985.32065355,0.0007051915715433778,0.01872148683172933,0.01859454102715828
2,1001,Rancasari,531194639.10039634,-0.10470633953809738,15070732.954830509,0.02837139505088666,0.5330021989149729,0.03405719417911551,1,34166620.82458875,0.0006013081805377239,0.018809653648967733,0.018698097236715356
2,1001,Gedebage,531194639.10039634,1.8987582921981812,8483102.082105381,0.015969856353354628,0.30489017422889975,0.017599697108051354,1,8483102.082105383,0.0006919870269603405,0.020804582235032162,0.022281952532735363
2,1001,Cibiru,531194639.10039634,0.7137274146080017,18625473.525439303,0.03506336878132362,0.3876089512733161,0.029563771349840354,1,18625473.525439307,0.001140119192772019,0.020918310183191024,0.022357729468128563
2,1001,Panyileukan ,531194639.10039634,-0.5142512917518616,2087956.165083803,0.003930680039655252,0.1552423816796813,0.01610393478912365,1,4733572.46821331,0.00027717596503054224,0.018769880843881707,0.01862287299130317
2,1001,Ujung Berung,531194639.10039634,0.9158260822296143,45121894.1845827,0.08494418215703156,0.7372885992655611,0.03930641800880007,1,45121894.18458271,0.001455392404557083,0.02086457617660635,0.022227849309798726
2,1001,Cinambo,531194639.10039634,-1.5669353008270264,732305.8751256793,0.0013786017802549261,0.0987252233735927,0.010065664102881785,1,1660199.0917116024,0.00017680543902020676,0.018706937201473334,0.01859648653385225
2,1001,Arcamanik,531194639.10039634,-1.567211627960205,13457671.13413645,0.025334726941009165,0.5934690102168868,0.03198833692102976,1,30509673.829412267,0.0005589934802548739,0.01877708711294441,0.018652712242446974
2,1001,Antapani,531194639.10039634,-0.8616704940795898,11764990.832565492,0.022148173130079156,0.463857321414087,0.03155066064183133,1,26672225.03283674,0.0005591337263174898,0.018709927798017015,0.018612548926531716
2,1001,Mandalajati,531194639.10039634,-0.6826868057250977,10924911.77614667,0.020566683042299777,0.49524891673397375,0.031223739065337566,1,24767695.062770467,0.0005166053160489323,0.01872598595954415,0.01852125873668787
2,1001,Kiaracondong,531194639.10039634,-0.4652683138847351,28996275.57779188,0.05458691305111526,0.7305148613720707,0.049926111493147164,1,65736998.72202667,0.0008609064639702953,0.018775232593091943,0.01863060033465332
2,1001,Batununggal,531194639.10039634,1.9239786863327026,52569459.56841153,0.09896458981107273,0.5627613908788458,0.045764335226027825,1,52569459.56841154,0.0017798408176924374,0.02084308059207282,0.022299705212137467
