step,seed,budget,total_allocation,unallocated_budget,budget_utilization,reward,delta_lbr,delta_f,fairness_violation,fairness_cost,feasible,budget_respected,cap_respected,eligibility_ok,non_negative,log_prob,entropy
23,1001,503591977.117526,503591977.117526,0.0,1.0,0.0015713548075082927,0.017407381792725912,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
24,1001,521587825.627188,521587825.6271881,0.0,1.0000000000000002,0.0016129271621912993,0.017544266375886595,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
25,1001,1525324139.744414,1525324139.744414,0.0,1.0,0.00460239456287822,0.01702465013795219,0.02,0,0.0,0,1,0,1,1,-27.88361358642578,42.88361358642578
26,1001,1920447449.512185,1920447449.512185,0.0,1.0,0.005820013440269069,0.016614669588595057,0.02,0,0.0,0,1,0,1,1,-27.88361358642578,42.88361358642578
27,1001,1661264486.8203351,1661264486.8203347,4.76837158203125e-07,0.9999999999999997,0.005067129750180221,0.016215380405161017,0.02,0,0.0,0,1,0,1,1,-27.88361358642578,42.88361358642578
28,1001,814987853.3395333,814987853.3395332,1.1920928955078125e-07,0.9999999999999999,0.0026131374961583975,0.015925716014695033,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
29,1001,444131097.2569733,444131097.2569733,0.0,1.0,0.0014380857449881395,0.016170962099965932,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
30,1001,440132460.3848961,440132460.3848961,0.0,1.0,0.001485310273423311,0.016430903248363847,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
31,1001,413984252.433776,413984252.4337761,0.0,1.0000000000000002,0.0013452001760613892,0.016706540234869612,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
32,1001,440126810.08444625,440126810.08444625,0.0,1.0,0.0014170572958703118,0.01693040636828413,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
33,1001,499913176.69011617,499913176.69011617,0.0,1.0,0.0016164636061403125,0.017092011569523446,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
34,1001,463157772.2696869,463157772.269687,0.0,1.0000000000000002,0.001574635986648084,0.01725680657189242,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
35,1001,450682911.2398095,450682911.23980945,5.960464477539063e-08,0.9999999999999999,0.0014831896701542626,0.01745273733906383,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
36,1001,485034058.7868085,485034058.7868085,0.0,1.0,0.00157995196992527,0.01758661830563087,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
37,1001,485878530.7794067,485878530.7794067,0.0,1.0,0.0015342057225006232,0.017732000563434047,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
38,1001,486295454.8862098,486295454.88620985,0.0,1.0000000000000002,0.0015665450025956456,0.01781820641690761,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
39,1001,390678355.89167416,390678355.89167416,0.0,1.0,0.0011778806729084233,0.01802436001305806,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
40,1001,478729550.1157915,478729550.11579144,5.960464477539063e-08,0.9999999999999999,0.0013807371498969492,0.01816540281938632,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
41,1001,431953407.1576136,431953407.1576135,5.960464477539063e-08,0.9999999999999999,0.0012901598255870568,0.018356348825624723,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
42,1001,475159069.8510225,475159069.8510225,0.0,1.0,0.001430181557206801,0.018454339584108116,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
