kelompok,n_episode,reward_mean,reward_std,delta_lbr_mean,delta_lbr_std,violation_rate_mean
Test-split (held-out),250,0.08674769174014903,0.0016861451845675613,0.01618175173742106,0.0001891063106851552,0.06953846153846155
Skenario baru (id=2),5,0.03571957662303259,0.0010120361337827067,0.022780537670443374,6.131597809949092e-05,0.7692307692307693
